company_name,attack,year_attack,Size_of_Group_Composition,BvD_independent_indicator,Number_of_shareholders,Number_of_effective_beneficiaries_def_10_10,Number_of_effective_beneficiaries_def_10_50,Number_of_effective_beneficiaries_def_25_25,Number_of_leaders,Number_of_current_leaders,Number_of_Previous_Leader,DM_As_any_category,Manager_Gender,Manager_Age,Manager_Age_group,Director_Also_shareholder,Manager_Number_of_companies_in_which_a_function_is_held,diffmoy_Price_earnings_per_share_average,diffmoy_Average_share_return,diffmoy_Capitalization_Equity,diffmoy_Capitalization_Total_balance_sheet_Tobins_Q,diffmoy_Equity_per_share_EUR,diffmoy_Bankruptcy_probability,diffmoy_Debt_coefficient,diffmoy_Solvency,diffmoy_Returns_invested_capital,diffmoy_Returns_net_equity,diffmoy_ROA_from_profit_before_taxes,diffmoy_ROCE_from_net_income1,diffmoy_R&D_expenditure_Operating_income,diffmoy_Performance
AEROPORTS DE PARIS,0,,174,D,35,0,0,0,117,45,84,Oui,H,59,56 - 65,Non,27,-5.544984234,-4.860752252,-0.895606707,-0.653887538,-65.47942759,-1.773921201,-0.194029851,1.833688699,15.54687368,21.02531974,7.757390977,14.65576012,-0.502997054,16.5419096
AEROSPATIALE MATRA SA,0,,0,U,0,0,0,0,4,4,0,Oui,H,53,46 - 55,Non,1,,,,,,,,,,,,,,
AFIBEL SA,0,,29,D,1,2,2,2,15,8,12,Non,H,56,56 - 65,Non,15,,,,,,-2.773921201,3.805970149,1.833688699,,,,,,
AFONE PARTICIPATIONS S.A.,0,,12,D,1,1,1,1,19,11,10,Non,H,63,56 - 65,Non,20,,,,,,1.226078799,-0.194029851,0.833688699,-5.155126316,-9.824680263,-6.688609023,0.29276012,-2.130997054,-15.9750904
AFRIQUE TELECOM,0,,2,A,4,0,0,0,8,4,5,Non,H,62,56 - 65,Oui,2,,,,,,5.226078799,-1.194029851,-4.166311301,20.97787368,,14.74439098,22.27876012,,-2.609090395
AGRIVOLT,0,,4,D,1,1,1,1,6,2,5,Non,H,58,56 - 65,Non,10,,,,,,1.226078799,3.805970149,1.833688699,,,,,,
AGROGENERATION,0,,41,D,4,0,0,0,22,11,15,Non,H,68,66 - 75,Non,8,,,-2.722606707,-1.325887538,-108.1874276,1.226078799,-1.194029851,-1.166311301,17.20787368,5.000319737,1.120390977,18.28076012,-2.130997054,-5.588090395
AIGLE SA,0,,148,D,1,2,2,2,16,9,11,Non,H,49,46 - 55,Non,26,,,,,,-1.773921201,-3.194029851,-4.166311301,,,,,,
AIR FRANCE - KLM,0,,155,A+,59,1,0,0,91,46,70,Oui,F,70,66 - 75,Non,39,-25.95298423,,-2.372606707,-1.555887538,-102.8994276,-1.773921201,-3.194029851,-3.166311301,16.74087368,69.61331974,5.304390977,17.79876012,-2.130997054,-1.438090395
AIR MARINE,0,,0,D,14,3,3,2,8,5,4,Non,H,59,56 - 65,Oui,7,,,,,,2.226078799,0.805970149,-0.166311301,14.02687368,12.34031974,5.072390977,21.81876012,-2.130997054,1.650909605
