company_name,attack,year_attack,Size_of_Group_Composition,BvD_independent_indicator,Number_of_shareholders,Number_of_effective_beneficiaries_def_10_10,Number_of_effective_beneficiaries_def_10_50,Number_of_effective_beneficiaries_def_25_25,Number_of_leaders,Number_of_current_leaders,Number_of_Previous_Leader,DM_As_any_category,Manager_Gender,Manager_Age,Manager_Age_group,Director_Also_shareholder,Manager_Number_of_companies_in_which_a_function_is_held,diffmoy_Price_earnings_per_share_average,diffmoy_Average_share_return,diffmoy_Capitalization_Equity,diffmoy_Capitalization_Total_balance_sheet_Tobins_Q,diffmoy_Equity_per_share_EUR,diffmoy_Bankruptcy_probability,diffmoy_Debt_coefficient,diffmoy_Solvency,diffmoy_Returns_invested_capital,diffmoy_Returns_net_equity,diffmoy_ROA_from_profit_before_taxes,diffmoy_ROCE_from_net_income1,diffmoy_R&D_expenditure_Operating_income,diffmoy_Performance
IMMOBILIERE DASSAULT SA,0,,3,D,10,6,5,1,24,21,9,Oui,F,55,46 - 55,Non,11,-21.10798423,,-2.423606707,-1.002887538,-56.99442759,-1.773921201,3.805970149,4.833688699,16.81687368,17.95031974,10.41139098,18.11576012,-2.130997054,
IMMOBILIERE MARCEAU,0,,22,D,1,0,0,0,5,2,5,Non,H,40,36 - 45,Non,3,,,,,,-1.773921201,3.805970149,5.833688699,,6.679319737,2.280390977,,,53.8879096
IMPLANET,0,,3,A+,10,0,0,0,23,18,16,Non,H,66,66 - 75,Non,10,,,-1.478606707,-0.568887538,-90.70542759,3.226078799,1.805970149,1.833688699,-54.87212632,-69.33268026,-42.56360902,-53.57123988,10.55100295,-94.5360904
IMPRIMERIE CHIRAT,0,,5,D,3,1,1,1,9,6,7,Non,H,63,56 - 65,Oui,8,-21.81998423,4.661247748,-2.088606707,-1.257887538,-102.3494276,0.226078799,-0.194029851,1.833688699,17.53787368,29.14331974,8.628390977,16.64976012,-2.130997054,1.315909605
IMV TECHNOLOGIES,0,,30,D,3,1,1,1,35,19,18,Non,H,55,46 - 55,Non,5,,,,,,-1.773921201,2.805970149,2.833688699,,,,,,
INFOCLIP,0,,5,B+,2,2,2,2,8,6,4,Non,H,53,46 - 55,Oui,4,,,-3.139606707,-1.539887538,-104.7994276,-0.773921201,1.805970149,0.833688699,,11.11431974,4.834390977,,-2.130997054,-1.075090395
INFORMATIS TECHNOLOGY SYSTEM,0,,0,U,0,0,0,0,5,5,3,Non,H,85,> 75,Non,4,,,,,,-0.773921201,2.805970149,3.833688699,,,,,,
INFOTEL,0,,12,B+,33,1,1,1,14,9,9,Oui,H,74,66 - 75,Oui,6,-11.11298423,,0.505393293,0.345112462,-97.95242759,-1.773921201,1.805970149,1.833688699,,35.72831974,17.11839098,,-2.130997054,6.538909605
INFOVISTA SA,0,,19,D,2,0,0,0,25,16,12,Oui,H,52,46 - 55,Non,14,,,,,,0.226078799,0.805970149,0.833688699,,7.066319737,2.059390977,,,-4.478090395
INGENICO GROUP,0,,162,A+,88,0,0,0,55,49,21,Non,H,76,> 75,Non,23,-4.709984234,-5.920752252,-0.516606707,-0.479887538,-81.01542759,-1.773921201,-3.194029851,-4.166311301,20.06387368,26.49731974,10.12939098,17.80476012,5.571002946,10.3069096
INITIATIVE ET FINANCE INVESTISSEMENT SA,0,,8,D,1,5,5,0,28,18,14,Non,H,53,46 - 55,Non,3,,,,,,,,,,,,,,
INNATE PHARMA,0,,2,A+,40,10,10,1,44,26,24,Non,F,53,46 - 55,Non,1,21.78001577,,5.905393293,1.195112462,-107.2434276,0.226078799,-2.194029851,-1.166311301,13.67587368,21.12831974,6.311390977,14.82976012,-0.251997054,14.9629096
INNELEC MULTIMEDIA,0,,5,C,13,2,2,1,32,21,15,Non,H,73,66 - 75,Oui,10,,,-2.703606707,-1.466887538,-101.3174276,3.226078799,-0.194029851,0.833688699,-28.36912632,-38.88868026,-9.830609023,-30.94923988,-2.130997054,-10.2770904
INNOV'IA,0,,54,D,3,0,0,0,17,10,11,Non,H,74,66 - 75,Non,9,,,,,,-1.773921201,3.805970149,3.833688699,,,,,,
INSTALLUX SA,0,,8,D,10,4,4,1,22,15,12,Non,H,72,66 - 75,Non,8,-18.19198423,-4.919752252,-1.938606707,-0.559887538,170.8955724,-1.773921201,3.805970149,5.833688699,23.41287368,22.54531974,14.87739098,19.66776012,-2.130997054,7.261909605
INSTITUT REGIONALE DE DEVELOPPEMENT DE LA REGION NORD PAS DE CALAIS SA,0,,48,B+,9,0,0,0,67,37,51,Oui,H,73,66 - 75,Non,6,-18.48798423,-4.005752252,-2.933606707,-1.456887538,-56.01742759,-0.773921201,,,11.08387368,11.40931974,4.239390977,11.10476012,-2.130997054,32.5809096
INTEGRAGEN,0,,2,A+,9,12,2,0,26,13,16,Non,H,55,46 - 55,Non,2,,,10.15339329,0.660112462,-108.5874276,3.226078799,-0.194029851,-2.166311301,-58.95912632,-143.6946803,-23.61060902,-48.01723988,-2.130997054,-35.3720904
INTEGRAL,0,,13,D,1,1,1,1,6,1,6,Oui,H,47,46 - 55,Oui,15,,,,,,,,,,,,,,
INTERCALL SA,0,,9,D,1,1,1,1,6,4,4,Non,,53,46 - 55,Non,4,,,,,,-0.773921201,-0.194029851,-0.166311301,,,,,,
INTERPARFUMS,0,,19,D,18,2,0,0,30,21,14,Oui,H,61,56 - 65,Non,256,-3.074984234,-5.131752252,-0.837606707,0.088112462,-100.2834276,-1.773921201,2.805970149,1.833688699,18.54887368,18.56031974,10.47439098,15.99176012,-2.130997054,8.840909605
INTERTECHNIQUE SA,0,,420,D,2,0,0,0,15,4,12,Non,H,58,56 - 65,Non,3,,,,,,-2.773921201,3.805970149,3.833688699,,,,,,
INTEXA,0,,1590,D,1,1,1,1,22,9,18,Non,H,51,46 - 55,Non,4,,,-2.458606707,-0.843887538,-105.3384276,-2.773921201,3.805970149,5.833688699,10.52587368,9.157319737,4.668390977,20.65876012,-2.130997054,36.3369096
INTRASENSE,0,,3,A+,8,0,0,0,20,10,13,Non,H,50,46 - 55,Oui,2,,,-0.352606707,-0.646887538,-108.6324276,3.226078799,-3.194029851,-0.166311301,-56.96812632,-124.6986803,-41.64860902,-39.62023988,29.89300295,-73.0910904
INVENTIVA,0,,0,A+,17,7,7,0,33,27,15,Non,H,54,46 - 55,Oui,1,,,,,,-0.773921201,3.805970149,4.833688699,-23.86512632,-29.04368026,-23.98660902,-8.87023988,,-92.2280904
INVIVO NSA,0,,76,D,1,0,0,0,50,13,43,Oui,H,56,56 - 65,Non,9,,,,,,1.226078799,1.805970149,3.833688699,,,,,,
IPSEN,0,,69,B+,42,2,2,2,51,36,24,Non,H,62,56 - 65,Non,3,-6.640984234,-6.092752252,0.970393293,0.764112462,-92.53842759,-0.773921201,0.805970149,-0.166311301,23.66587368,27.98631974,14.01139098,21.09476012,11.65300295,13.0309096
IPSOS,0,,234,A+,94,1,1,0,65,40,33,Oui,H,53,46 - 55,Non,43,-18.01998423,-4.113752252,-1.831606707,-1.026887538,-87.69942759,-2.773921201,-3.194029851,-4.166311301,17.71787368,22.51531974,8.434390977,16.28076012,-2.130997054,3.826909605
ISCOOL ENTERTAINMENT,0,,678,D,2,5,0,0,30,11,21,Non,F,55,46 - 55,Non,11,,,,,,1.226078799,-3.194029851,-3.166311301,-21.88712632,-42.55168026,-20.05960902,-17.11623988,-2.130997054,-28.8370904
IT LINK,0,,6,B+,9,2,2,1,26,22,9,Non,H,58,56 - 65,Oui,4,-18.77098423,,-1.014606707,-0.752887538,-102.9784276,-0.773921201,-0.194029851,0.833688699,27.42187368,30.77331974,11.14339098,28.63776012,-2.130997054,1.100909605
ITESOFT,0,,3,D,6,4,4,1,30,20,15,Oui,H,63,56 - 65,Oui,8,,,0.228393293,-0.824887538,-107.7194276,-0.773921201,-3.194029851,-1.166311301,13.50487368,11.04231974,2.824390977,10.17476012,-2.130997054,-3.472090395
ITS GROUP,0,,12,D,1,2,1,1,27,12,19,Non,H,57,56 - 65,Non,11,,,,,,3.226078799,-1.194029851,-0.166311301,15.15487368,14.52231974,4.893390977,13.21376012,-2.130997054,-2.651090395
IVALIS,0,,12,B+,5,4,1,1,25,19,15,Non,H,55,46 - 55,Non,1,,,3.663393293,-0.891887538,-106.3054276,0.226078799,-3.194029851,-4.166311301,34.04887368,67.00731974,7.999390977,9.04976012,-2.130997054,-1.969090395
JACQUES BOGART SA,0,,42,D,10,2,2,2,13,11,3,Non,H,50,46 - 55,Oui,19,-5.536984234,-6.232752252,-0.434606707,-0.377887538,-104.1094276,-0.773921201,-1.194029851,-1.166311301,17.67287368,18.48031974,7.120390977,18.38276012,-2.130997054,3.662909605
JACQUET METAL SERVICE,0,,119,D,28,1,1,1,31,22,13,Non,H,53,46 - 55,Non,1,-4.825984234,-4.975752252,-1.638606707,-1.091887538,-96.50042759,-1.773921201,-1.194029851,-0.166311301,15.30687368,16.60431974,5.067390977,13.73876012,-2.130997054,-2.785090395
JANE FRANCE,0,,0,U,0,0,0,0,3,3,2,Non,H,78,> 75,Non,2,,,-2.693606707,-1.116887538,-107.9504276,0.226078799,-1.194029851,-4.166311301,,5.408319737,1.093390977,,,
JCDECAUX SA,0,,492,D,59,3,3,3,56,36,29,Non,H,61,56 - 65,Oui,10,2.337015766,-5.800752252,-0.804606707,-0.549887538,-97.38842759,1.226078799,-2.194029851,-0.166311301,13.32787368,15.70331974,5.866390977,14.42576012,-1.778997054,3.100909605
JEAN-MICHEL GIRODET S.A.,0,,0,U,0,0,0,0,3,3,0,Non,H,53,46 - 55,Non,1,,,,,,,,,,,,,,
JLMD ECOLOGIC GROUP S.A.,0,,6,B-,1,0,0,0,15,4,12,Non,,53,46 - 55,Non,1,,,,,,-0.773921201,,,,,,,,
JOHNSON CONTROLS FABRICS SAS,0,,947,C,2,12,0,0,24,6,21,Non,H,59,56 - 65,Non,5,,,,,,4.226078799,-3.194029851,-2.166311301,,,,,,
JSA TECHNOLOGY,0,,0,D,3,2,2,2,17,16,5,Non,H,46,46 - 55,Non,214,,,,,,,,,,,,,,
JV GROUP SA,0,,3,D,2,1,1,1,8,4,7,Non,,53,46 - 55,Non,1,,,,,,0.226078799,3.805970149,4.833688699,,,,,,
KALRAY,0,,0,A+,33,0,0,0,37,23,18,Non,H,65,56 - 65,Oui,9,,,,,,,-3.194029851,-4.166311301,,,-87.32060902,,3.337002946,
KAUFMAN & BROAD SA,0,,237,A+,67,8,8,0,43,24,30,Oui,H,59,56 - 65,Non,5,-11.49498423,-2.037752252,1.645393293,-1.009887538,-101.8444276,-2.773921201,-3.194029851,-4.166311301,32.38087368,71.18131974,9.632390977,20.86376012,-0.372997054,2.933909605
KEOLIS,0,,,D,1,0,0,0,43,12,37,Oui,H,63,56 - 65,Non,10,,,,,,0.226078799,-3.194029851,-2.166311301,,,,,,
KEREN CORPORATE,0,,0,U,2,0,0,0,2,1,1,Oui,F,53,46 - 55,Non,4,,,,,,,,,,,,,,
KEREN ESSENTIELS,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
KEREN PATRIMOINE,0,,0,U,2,0,0,0,2,1,1,Oui,F,53,46 - 55,Non,4,,,,,,,,,,,,,,
KERING,0,,527,D,51,5,5,5,62,42,34,Oui,H,58,56 - 65,Non,14,-0.526984234,-4.937752252,-0.992606707,-0.488887538,-14.09842759,-1.773921201,-3.194029851,-4.166311301,14.47987368,15.96031974,6.597390977,13.88376012,-2.130997054,4.780909605
KERLINK,0,,5,A+,12,0,0,0,13,11,4,Non,H,48,46 - 55,Oui,6,,,1.857393293,0.969112462,-105.7824276,3.226078799,2.805970149,0.833688699,-5.381126316,-11.61168026,-7.227609023,0.59976012,-2.130997054,-15.6700904
KEYRUS,0,,56,D,3,1,1,1,20,15,8,Oui,H,54,46 - 55,Oui,31,-16.39198423,,-2.196606707,-1.367887538,-106.2794276,-0.773921201,-3.194029851,-4.166311301,19.09487368,21.25831974,5.144390977,17.08776012,-2.130997054,-1.790090395
KEYYO,0,,1454,D,1,2,0,2,19,7,14,Non,H,56,56 - 65,Non,6,,,,,,1.226078799,-3.194029851,-0.166311301,29.99787368,46.66731974,14.98639098,29.80776012,-0.185997054,3.536909605
KIMOCE S.A.,0,,7,C,1,2,1,1,19,12,8,Non,H,46,46 - 55,Oui,7,,,,,,0.226078799,,,,,,,,
KKO INTERNATIONAL,0,,0,U,0,0,0,0,10,10,3,Non,H,75,66 - 75,Non,6,,,,,,-0.773921201,2.805970149,-0.166311301,-141.1961263,-195.7516803,-63.86060902,-142.3032399,-2.130997054,
KLEMURS,0,,293,D,1,33,0,0,44,31,15,Non,,53,46 - 55,Non,52,,,,,,-1.773921201,3.805970149,5.833688699,,,,,,
KLEPIERRE,0,,293,A+,66,33,0,0,38,29,11,Non,H,51,46 - 55,Non,11,-17.55498423,-2.869752252,-2.307606707,-1.122887538,-68.96142759,-1.773921201,2.805970149,2.833688699,17.05887368,19.69131974,8.710390977,15.91376012,-2.130997054,
KORIAN,0,,616,B+,62,0,0,0,59,30,37,Oui,H,72,66 - 75,Non,2,-10.57198423,-5.429752252,-2.147606707,-1.260887538,-83.43542759,-0.773921201,-3.194029851,-4.166311301,11.84987368,11.88231974,3.525390977,13.40676012,-2.130997054,-0.798090395
KRIEF GROUP,0,,15,D,4,1,1,1,15,11,13,Oui,H,43,36 - 45,Non,4,,,-0.830606707,-0.709887538,-107.8044276,,,,-8.066126316,-21.00368026,-8.338609023,-2.35123988,-2.130997054,
KUMULUS VAPE,0,,0,D,3,3,3,2,4,4,1,Non,H,36,36 - 45,Oui,1,,,,,,0.226078799,,,27.73387368,25.94231974,14.84039098,29.36676012,-2.130997054,-1.311090395
L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE,0,,1076,A+,47,1,1,1,50,35,26,Non,H,62,56 - 65,Non,737,-7.253984234,-4.817752252,-0.844606707,-0.673887538,-72.44642759,-2.773921201,-3.194029851,-3.166311301,15.50087368,21.69131974,7.763390977,14.61276012,-1.057997054,9.439909605
L'OREAL,0,,342,B+,55,1,1,1,70,52,27,Oui,H,64,56 - 65,Non,281,1.190015766,-5.492752252,0.732393293,1.129112462,-65.22742759,-1.773921201,3.805970149,0.833688699,23.84087368,23.75031974,13.84739098,20.53776012,1.151002946,12.0019096
L IMMOBILIERE HOTELIERE,0,,0,D,3,1,1,0,9,4,6,Non,H,71,66 - 75,Non,2,,,,,,,-1.194029851,-2.166311301,,,,,,
LA BOULANGERIE DE L'EUROPE SA,0,,124,D,1,2,2,1,16,5,11,Non,,53,46 - 55,Non,3,,,,,,0.226078799,3.805970149,-2.166311301,,,,,,
LA CHAUSSERIA,0,,2,D,7,3,3,2,4,4,3,Non,F,44,36 - 45,Oui,3,,,-2.465606707,-0.929887538,-96.56742759,1.226078799,3.805970149,2.833688699,,5.516319737,1.200390977,,-2.130997054,-5.527090395
LA FONCIERE VERTE,0,,31,D,4,1,1,1,16,12,9,Non,H,62,56 - 65,Oui,36,,,0.482393293,-1.358887538,-95.14642759,-2.773921201,-3.194029851,-2.166311301,14.49487368,30.66931974,3.336390977,15.33476012,-2.130997054,9.370909605
LA FRANCAISE DE L'ENERGIE,0,,10,A+,25,0,0,0,20,12,10,Non,H,42,36 - 45,Oui,12,,,,,,0.226078799,-3.194029851,-3.166311301,-0.259126316,-6.881680263,-8.793609023,5.52976012,,
LA FRANCAISE DES JEUX,0,,15,B+,38,0,0,0,78,38,51,Oui,H,61,56 - 65,Non,6,,,,,,-2.773921201,-1.194029851,-0.166311301,,,,,,
LA MAISON DES COSMETIQUES,0,,3,D,1,1,1,1,11,5,7,Non,H,62,56 - 65,Oui,8,,,,,,,,,,,,,,
LA ROCHETTE SA,0,,43,D,1,2,2,2,30,18,16,Non,H,58,56 - 65,Non,11,,,,,,-0.773921201,1.805970149,5.833688699,,,,,,
LA SAVOISIENNE SA,0,,0,U,0,0,0,0,2,2,0,Non,H,53,46 - 55,Non,1,,,,,,,,,,,,,,
LA SAVONNERIE DE NYONS,0,,0,D,4,2,2,2,4,4,1,Non,H,50,46 - 55,Oui,7,-3.575984234,,3.549393293,1.009112462,-106.7294276,2.226078799,-1.194029851,-0.166311301,26.72787368,45.60631974,16.91339098,23.35776012,-2.130997054,6.693909605
LABEYRIE SA,0,,53,D,1,0,0,0,30,15,20,Non,,53,46 - 55,Non,7,,,,,,-1.773921201,1.805970149,0.833688699,,,,,,
LABINAL SA,0,,2,D,1,0,0,0,2,2,0,Non,H,94,> 75,Non,1,,,,,,,,,,,,,,
LABORATOIRES ARKOPHARMA,0,,17,D,3,1,1,1,50,22,36,Non,,53,46 - 55,Non,1,,,,,,,,,,,,,,
LABORATOIRES EFFIK,0,,77,D,2,2,2,2,26,14,14,Non,H,55,46 - 55,Non,7,,,,,,-0.773921201,3.805970149,1.833688699,,,,,,
LABORATOIRES GIFRER BARBEZAT SA,0,,3,D,2,0,0,0,25,11,17,Non,H,54,46 - 55,Non,30,,,,,,-0.773921201,-3.194029851,-4.166311301,,,,,,
LACIE S.A.,0,,123,D,3,39,0,0,42,30,14,Non,F,54,46 - 55,Non,1,,,,,,3.226078799,2.805970149,1.833688699,,,,,,
LACROIX GROUP,0,,43,D,12,17,17,1,25,19,16,Non,H,44,36 - 45,Oui,14,,-5.548752252,-2.474606707,-1.339887538,-85.96342759,-0.773921201,-0.194029851,-0.166311301,1.795873684,-3.542680263,-1.603609023,2.69176012,-0.450997054,-6.669090395
LAFARGE SA,0,,1004,D,1,0,0,0,64,27,40,Non,F,53,46 - 55,Non,10,,,,,,0.226078799,,,,,,,,
LAFUMA,0,,49,D,5,10,6,6,44,12,40,Oui,H,57,56 - 65,Non,25,,,-1.047606707,-0.296887538,-99.50442759,1.226078799,3.805970149,2.833688699,7.595873684,5.738319737,1.493390977,7.57776012,2.043002946,-4.872090395
LAGARDERE SCA,1,2018,678,A+,55,5,3,0,44,32,31,Oui,H,59,56 - 65,Non,118,-10.71298423,-6.996752252,-1.542606707,-1.158887538,-93.32142759,-1.773921201,-3.194029851,-4.166311301,16.02687368,19.13231974,5.133390977,15.01976012,-2.130997054,-1.277090395
LANDANGER-CAMUS SA,0,,0,U,0,0,0,0,2,2,0,Non,H,70,66 - 75,Non,8,,,,,,,,,,,,,,
LANSON-BCC,0,,42,A+,11,4,4,0,26,20,10,Non,H,67,66 - 75,Non,17,-7.716984234,-6.444752252,-2.335606707,-1.352887538,-71.63142759,-0.773921201,-3.194029851,-2.166311301,10.61887368,12.30831974,3.437390977,11.16176012,-2.130997054,1.557909605
LAURENT-PERRIER,0,,24,D,18,2,2,2,38,28,18,Non,H,55,46 - 55,Non,1,-9.454984234,-6.090752252,-2.193606707,-1.126887538,-43.03642759,-1.773921201,-0.194029851,0.833688699,12.89087368,15.01231974,5.769390977,12.61376012,-2.130997054,10.2849096
LE BELIER,0,,21,D,18,8,4,0,31,17,17,Non,H,73,66 - 75,Oui,7,-16.21598423,-4.377752252,-1.171606707,-0.800887538,-89.41042759,1.226078799,0.805970149,-0.166311301,20.68787368,27.42331974,9.983390977,18.48176012,-1.906997054,3.973909605
LE BON MARCHE SA,0,,1559,D,2,2,2,1,42,19,28,Non,H,53,46 - 55,Non,3,,,,,,-2.773921201,3.805970149,4.833688699,,,,,,
LE CREDIT LYONNAIS (LCL) SA,0,,2015,D,2,0,0,0,91,45,55,Oui,H,61,56 - 65,Non,75,,,,,,-2.773921201,,,,11.21031974,1.917390977,,,4.946909605
LE TANNEUR ET CIE,0,,5,D,3,1,1,0,23,14,17,Non,H,58,56 - 65,Non,21,,,-1.218606707,-1.309887538,-107.5564276,3.226078799,-3.194029851,-4.166311301,-0.899126316,-12.04468026,-0.931609023,-0.88923988,-2.130997054,-6.578090395
LEADERLEASE,0,,7,D,1,0,0,0,6,3,4,Oui,H,53,46 - 55,Non,7,,,,,,0.226078799,0.805970149,0.833688699,-37.73612632,-57.71068026,-19.69060902,-40.36723988,-2.130997054,
LECTRA,0,,40,U,48,2,2,0,45,39,12,Oui,H,66,66 - 75,Oui,8,-10.76398423,-5.148752252,1.003393293,0.540112462,-104.5974276,-2.773921201,1.805970149,1.833688699,33.40487368,33.65431974,15.62939098,27.74176012,3.399002946,9.308909605
LEFEBVRE (ENTREPRISE JEAN) SA,0,,0,U,0,0,0,0,3,3,0,Non,H,53,46 - 55,Non,1,,,,,,,,,,,,,,
LEGRAND,0,,236,A+,70,0,0,0,51,32,29,Non,H,61,56 - 65,Non,128,-7.320984234,-5.170752252,0.303393293,0.173112462,-93.62942759,-1.773921201,-3.194029851,-4.166311301,21.81387368,27.01531974,12.19539098,19.72976012,2.065002946,12.2099096
LEGRAND FRANCE SA,0,,236,D,1,0,0,0,41,19,25,Non,H,57,56 - 65,Non,140,,,,,,-2.773921201,-1.194029851,-0.166311301,,,,,,
LEGUIDE.COM,0,,12,D,1,0,0,0,29,7,24,Non,H,50,46 - 55,Non,22,,,,,,4.226078799,2.805970149,1.833688699,,,,,,
LEON DE BRUXELLES SA,0,,,D,3,1,1,1,34,10,25,Non,,53,46 - 55,Non,5,,,,,,-0.773921201,-3.194029851,-2.166311301,,,,,,
LEONI WIRING SYSTEMS FRANCE,0,,101,D,1,0,0,0,9,4,6,Non,H,60,56 - 65,Non,2,,,,,,-0.773921201,-0.194029851,-1.166311301,,,,,,
LEROY-SOMER SA,0,,381,D,2,0,0,0,27,22,7,Non,H,59,56 - 65,Non,9,,,,,,-1.773921201,3.805970149,3.833688699,,,,,,
LES DOCKS DES PETROLES D AMBES,0,,1840,D,6,5,5,5,32,15,22,Non,H,49,46 - 55,Non,2,-19.75498423,0.256247748,-2.472606707,-0.991887538,389.4725724,-2.773921201,2.805970149,5.833688699,17.20287368,18.07731974,11.22739098,15.19776012,-2.130997054,31.5699096
LES HOTELS BAVEREZ,0,,0,D,7,4,4,1,26,17,11,Non,F,80,> 75,Non,1,,,-0.260606707,0.350112462,-94.76242759,-1.773921201,1.805970149,3.833688699,6.836873684,4.508319737,0.665390977,9.04476012,-2.130997054,-6.749090395
LES HOTELS DE PARIS,0,,7,C+,10,1,1,1,16,13,9,Non,H,62,56 - 65,Oui,11,,,-2.797606707,-1.494887538,-104.6924276,5.226078799,-3.194029851,-4.166311301,1.226873684,-15.35168026,-3.590609023,-3.96623988,-2.130997054,-27.2910904
LES MAISONS D'AUJOURD'HUI,0,,2,D,5,3,3,3,10,5,8,Non,H,62,56 - 65,Oui,9,,,-5.675606707,-0.742887538,-109.8484276,5.226078799,-3.194029851,-4.166311301,,,-67.04460902,,-2.130997054,-59.1480904
LES MOTOCYCLES ARDOIN SAINT AMAND ET CIE,0,,5,B+,5,2,2,2,7,7,7,Non,H,73,66 - 75,Oui,2,,,-2.883606707,-1.250887538,40.98357241,-0.773921201,-1.194029851,5.833688699,,2.462319737,-1.872609023,,-2.130997054,
LES THERMES DE SAUJON,0,,5,D,2,2,2,1,17,12,11,Oui,H,57,56 - 65,Non,7,,,-2.479606707,-0.953887538,250.9875724,-1.773921201,3.805970149,4.833688699,,14.02231974,8.450390977,,-2.130997054,6.740909605
LES TOQUES BLANCHES DU MONDE,0,,0,B+,5,1,1,1,10,9,3,Non,H,55,46 - 55,Non,5,,,,,,2.226078799,-3.194029851,-4.166311301,-142.5991263,,-82.99060902,-145.1532399,-2.130997054,
LES TROIS CHENES,0,,,D,2,3,0,3,28,18,20,Oui,H,62,56 - 65,Non,10,,,0.364393293,-1.136887538,-106.6234276,5.226078799,-0.194029851,-3.166311301,,-11.63468026,-0.583609023,,-2.130997054,-5.821090395
LEXBASE S.A.,0,,0,A-,3,1,0,0,9,7,4,Non,H,48,46 - 55,Non,5,,,,,,-0.773921201,2.805970149,-0.166311301,,,,,,
LEXIBOOK LINGUISTIC ELECTRONIC SYSTEM,0,,5,A+,7,6,6,0,22,15,13,Non,H,77,> 75,Oui,5,,,0.198393293,-1.093887538,-108.3404276,3.226078799,-3.194029851,-4.166311301,-36.15412632,-96.83568026,-13.56260902,-48.80823988,-2.130997054,-14.5330904
LINEDATA SERVICES,0,,21,D,21,1,1,1,21,13,15,Non,H,68,66 - 75,Oui,19,-15.96398423,-3.610752252,-0.256606707,-0.297887538,-93.18342759,-0.773921201,-3.194029851,-4.166311301,28.38887368,37.37131974,15.39639098,23.04776012,8.226002946,16.7849096
LISI,0,,52,D,35,10,0,4,41,37,7,Non,H,66,66 - 75,Non,15,-15.09798423,-5.767752252,-1.329606707,-0.614887538,-92.82442759,-1.773921201,0.805970149,-0.166311301,20.80287368,24.69931974,11.33139098,17.74676012,-0.482997054,5.351909605
LIVRET BOURSE INVESTISSEMENTS,0,,0,U,2,0,0,0,24,9,18,Non,H,56,56 - 65,Non,4,,,,,,,,,,,,,,
LNA SANTE,0,,111,B+,33,2,2,2,30,21,11,Non,H,69,66 - 75,Non,12,-14.59898423,-6.759752252,-1.147606707,-1.091887538,-91.97442759,1.226078799,-3.194029851,-4.166311301,15.92687368,22.37631974,5.699390977,16.00476012,-2.130997054,0.820909605
LOCAFINANCIERE SOCIETE FINANCIERE POUR LA LOCATION,0,,53,D,1,0,0,0,6,2,5,Non,,53,46 - 55,Non,44,,,,,,-2.773921201,3.805970149,3.833688699,,,,,,
LOCAMEX HOLDING,0,,5,D,1,10,0,2,21,7,16,Non,,53,46 - 55,Non,2,,,,,,5.226078799,-3.194029851,-4.166311301,,,,,,
LOCAMUR SOFIGROS SA,0,,2015,D,1,0,0,0,10,8,5,Non,H,54,46 - 55,Non,16,,,,,,-2.773921201,,,,,,,,
LOCASOLOG SA,0,,0,D,1,1,1,1,6,4,4,Non,H,75,66 - 75,Oui,1,,,,,,-1.773921201,3.805970149,5.833688699,,12.97531974,8.417390977,,,80.2459096
LOCASYSTEM INTERNATIONAL,0,,11,C+,5,1,1,1,11,8,10,Non,H,74,66 - 75,Oui,22,,,,,,-0.773921201,,,27.16087368,37.75531974,9.734390977,18.67476012,-2.130997054,-0.576090395
LOCATION ET CONSEIL AUTOMOBILE - L.C.A. FRANCE,0,,3,D,2,1,1,1,12,6,7,Non,H,66,66 - 75,Non,1,,,,,,-1.773921201,1.805970149,5.833688699,9.030873684,8.155319737,3.290390977,11.17976012,,0.515909605
LOGIC INSTRUMENT,0,,16,B+,9,0,0,0,20,12,11,Non,H,51,46 - 55,Non,11,,,-1.807606707,-0.826887538,-108.3254276,-0.773921201,1.805970149,2.833688699,5.163873684,3.328319737,0.207390977,6.46476012,-2.130997054,-5.702090395
LOMBARD ET MEDOT,0,,,D,2,3,3,2,22,19,13,Non,F,66,66 - 75,Non,1,,,-2.909606707,-1.475887538,-75.93942759,-1.773921201,-1.194029851,0.833688699,,0.168319737,-0.581609023,,-2.130997054,-10.7230904
LONGCHAMP ABSOLUTE RETURN FUND,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
LONGCHAMP GALILEO EQUITY INCOME FUND,0,,0,U,2,0,0,0,1,1,0,Non,F,53,46 - 55,Non,1,,,,,,,,,,,,,,
LONGCHAMP TREASURY FUND,0,,0,U,2,0,0,0,0,0,0,,,53,46 - 55,,0,,,,,,,,,,,,,,
LUCIBEL SA,0,,8,A+,9,4,4,0,29,12,21,Non,H,51,46 - 55,Non,15,,,-0.842606707,-0.574887538,-107.5494276,3.226078799,-3.194029851,-3.166311301,3.979873684,-0.923680263,-1.303609023,4.45176012,-2.130997054,-7.723090395
LUMIBIRD,0,,26,C+,30,2,1,1,51,23,35,Non,H,57,56 - 65,Oui,11,-14.02698423,,-0.038606707,-0.129887538,-107.8294276,-0.773921201,0.805970149,-1.166311301,28.26787368,40.26831974,17.43739098,23.39376012,6.148002946,12.3799096
