nom_entreprise,attaque,Taille.de.la.Composition.du.Groupe,Indic..d.indép..BvD,Nombre.d.actionnaires,Nombre.de.bénéficiaires.effectifs..déf.10..10..,Nombre.de.bénéficiaires.effectifs..déf.10..50..,Nombre.de.bénéficiaires.effectifs..déf.25..25..,Nombre.de.dirigeants,Nombre.de.dirigeants.actuels,Nombre.de.dirigeants.précédents,DM..As.any.category,Dirigeant..Sexe,Dirigeant..Age,Dirigeant..Tranche.d.âge,Dirigeant..Aussi.actionnaire,Dirigeant..Nombre.d.entreprises.dans.lesquelles.une.fonction.est.exercée,diffmoy_Cours...bénéfice.par.action...moyenne,diffmoy_Capitalisation...Capitaux.propres,diffmoy_Capitalisation...Total.du.bilan..Tobin.s.Q,diffmoy_Capitaux.propres.par.action..EUR,diffmoy_Probabilité.de.faillite,diffmoy_Coefficient.d.endettement,diffmoy_Solvabilité,diffmoy_Rend..du.capital.investi,diffmoy_Rend..des.capitaux.propres.nets,diffmoy_ROA.à.partir.du.résultat.av..impôts,diffmoy_ROCE.à.partir.du.revenu.net1,diffmoy_Dépenses.de.R.D...Produit.d.exploitation,diffmoy_Performance
ALES GROUPE,1,29,D,10,4,4,1,37,23,27,Non,H,90,> 75,Oui,3,,-1.125606707,-0.883887538,-103.1884276,4.226078799,-3.194029851,-3.166311301,11.63487368,9.457319737,2.854390977,11.50576012,0.033002946,-3.585090395
ALTICE FRANCE S.A.,1,504,D,1,1,1,1,45,16,32,Non,H,59,56 - 65,Non,51,,,,,-0.773921201,-3.194029851,-4.166311301,11.43787368,1.603319737,1.197390977,12.52776012,-2.130997054,-6.193090395
ALTRAN TECHNOLOGIES,1,398,D,13,0,0,0,61,25,44,Oui,H,59,56 - 65,Non,34,,,,,-0.773921201,-3.194029851,-4.166311301,23.27687368,26.31831974,9.444390977,20.41876012,-2.130997054,3.197909605
CASINO GUICHARD-PERRACHON,1,1590,D,64,1,1,1,76,43,45,Oui,H,59,56 - 65,Non,10,-25.94598423,-2.893606707,-1.484887538,21.25357241,-1.773921201,-3.194029851,-2.166311301,18.75187368,21.68531974,7.064390977,21.78376012,-2.130997054,0.128909605
COMPAGNIE DES ALPES,1,87,B+,22,0,0,0,54,25,39,Oui,H,64,56 - 65,Non,64,-16.16498423,-2.730606707,-1.329887538,-75.70842759,-1.773921201,-0.194029851,0.833688699,13.28887368,12.78531974,5.286390977,12.91976012,-2.130997054,2.707909605
DANONE,1,445,A+,88,0,0,0,59,34,45,Oui,H,56,56 - 65,Non,146,-3.395984234,-0.250606707,-0.706887538,-88.72442759,-2.773921201,-3.194029851,-4.166311301,16.22087368,26.04331974,7.699390977,14.91476012,-0.619997054,7.207909605
LAGARDERE SCA,1,678,A+,55,5,3,0,44,32,31,Oui,H,59,56 - 65,Non,118,-10.71298423,-1.542606707,-1.158887538,-93.32142759,-1.773921201,-3.194029851,-4.166311301,16.02687368,19.13231974,5.133390977,15.01976012,-2.130997054,-1.277090395
PERNOD RICARD,1,410,B+,102,1,1,1,82,64,30,Oui,H,53,46 - 55,Non,4,-6.345984234,-1.276606707,-0.736887538,-57.95542759,-0.773921201,-3.194029851,-4.166311301,15.65387368,18.42331974,7.150390977,15.28576012,-2.130997054,14.4269096
SCOR SE,1,127,A+,77,0,0,0,80,38,62,Oui,H,68,66 - 75,Non,91,-18.45998423,-2.294606707,-1.458887538,-74.24242759,-1.773921201,,,,17.70031974,3.498390977,,,0.855909605
XPO LOGISTICS EUROPE,1,596,D,5,0,0,0,40,28,24,Non,H,71,66 - 75,Non,2,-5.131984234,-0.677606707,-1.023887538,-28.94342759,1.226078799,-3.194029851,-4.166311301,18.47187368,23.64531974,5.688390977,16.95076012,-2.130997054,-2.199090395
ACCOR,1,612,B+,54,0,0,0,84,40,55,Oui,H,58,56 - 65,Non,2797,196.2455891,-0.180918715,-50.53745558,-279.3533715,,-0.393282774,0.764897075,2.284844691,4.846356534,2.475055172,-0.524498423,-2.236091681,-1.270271111
ALTAMIR,1,3,D,9,1,1,1,25,18,10,Non,H,77,> 75,Non,11,-14.00241089,-0.862918715,-50.61645558,-283.8593715,,2.606717226,5.764897075,-1.047155309,0.630356534,2.562055172,1.260501577,-2.236091681,45.10172889
CRITEO,1,28,A+,95,0,0,0,44,33,24,Non,H,51,46 - 55,Oui,8,17.1757217,3.1972784,1.673741214,-102.9843596,0.445920304,3.771134021,2.791752577,15.52041185,20.52516026,9.729535354,14.26571212,3.596225416,0.661393419
ESSILORLUXOTTICA,1,963,B+,54,6,6,1,77,36,51,Non,H,85,> 75,Non,559,16.22071558,0.963593842,-11.80339883,-396.7875146,-1.866602687,-3.210869565,-4.109782609,12.2423437,15.61653704,4.653794766,12.09984829,-0.686543478,7.295475535
NEXANS,1,443,B+,63,4,0,1,71,45,42,Non,H,63,56 - 65,Non,30,,0.432662651,-22.22560413,-87.37685327,,-2.13408393,-2.101330604,-3.156705701,-14.46397007,-4.936208936,-4.648403374,-0.483567485,-11.58484857
PEUGEOT,1,693,A+,76,4,3,0,109,79,59,Oui,F,52,46 - 55,Non,135,-18.9842783,-1.4207216,-1.297258786,-94.25738713,-1.554079696,-3.228865979,-2.208247423,9.121411854,16.45516026,3.916535354,8.731712121,-0.376774584,-2.328606581
REXEL,1,409,A+,94,9,6,0,62,36,38,Oui,H,64,56 - 65,Oui,582,227.5367217,-1.6407216,-1.225258786,-94.95638713,-1.554079696,-3.228865979,-4.208247423,4.921411854,7.792160265,2.098535354,5.086712121,-2.359774584,-4.049606581
VINCI,1,3887,A+,71,0,0,0,55,40,23,Oui,H,66,66 - 75,Non,95,-14.16028442,1.723593842,-12.20639883,-441.8885146,-1.866602687,-3.210869565,-4.109782609,20.2773437,34.33753704,7.928794766,17.27184829,-2.440543478,5.470475535
ADUX,1,32,D,8,1,1,1,50,17,42,Oui,H,59,56 - 65,Non,1,,-1.9037216,-1.425258786,-101.9513871,4.445920304,-3.228865979,-4.208247423,-125.1895881,-145.4108397,-34.40046465,-149.1982879,-2.359774584,-55.99860658
CARREFOUR,1,645,A+,80,2,1,0,90,50,50,Oui,H,47,46 - 55,Non,7,19.51458911,0.209081285,-50.84245558,-284.7323715,,-3.393282774,-4.235102925,-5.318155309,-14.69864347,-3.275944828,2.561501577,-2.236091681,-7.563271111
LATECOERE,1,24,D,13,5,5,5,60,30,44,Oui,H,77,> 75,Non,1,95.92859217,5.834912202,-1.059098214,-419.9656469,1.304060434,2.809989142,2.878393051,14.12654618,10.78789736,4.244722074,11.32602698,0.612441896,-1.503889401
RENAULT,1,697,B+,54,0,0,0,127,88,65,Oui,H,67,66 - 75,Non,226,-23.17928442,-0.001406158,-12.63739883,-352.8295146,-1.866602687,-2.210869565,-0.109782609,18.7263437,23.30553704,5.620794766,17.23984829,0.692456522,2.665475535
SAFRAN,1,420,A+,81,0,0,0,151,129,36,Non,H,54,46 - 55,Non,201,-14.82698423,0.947393293,-0.685887538,-92.51342759,-0.773921201,-3.194029851,-4.166311301,26.35987368,41.31331974,9.433390977,24.00876012,6.734002946,7.713909605
TECHNICOLOR,1,213,A+,29,0,0,0,73,45,50,Oui,F,54,46 - 55,Non,120,,-0.048918715,-51.03345558,-272.0243715,,-3.393282774,-4.235102925,-7.692155309,-159.1036435,-8.561944828,-9.298498423,0.917908319,-13.36327111
VIVENDI SE,1,1999,B+,80,1,1,1,166,136,45,Non,H,53,46 - 55,Non,3,-28.97313592,-1.041343854,-0.491337209,-99.45868858,-1.897196262,0.820383451,0.856710394,14.44883432,12.36982072,6.117767857,24.67410472,-2.364043219,4.546297636
1000MERCIS,0,8,B+,16,3,3,2,14,12,4,Oui,F,47,46 - 55,Oui,6,-7.240984234,-0.820606707,-0.241887538,-90.68342759,-0.773921201,1.805970149,2.833688699,19.70787368,22.18231974,10.75239098,17.19676012,-2.130997054,10.6349096
A S T GROUPE,0,17,A+,10,3,3,0,18,9,9,Non,H,61,56 - 65,Oui,10,-16.21198423,-1.222606707,-0.983887538,-106.6144276,0.226078799,1.805970149,1.833688699,29.71787368,32.15031974,9.710390977,20.98376012,-2.130997054,1.102909605
ABEO,0,62,D,20,1,1,1,20,14,9,Oui,H,60,56 - 65,Oui,28,-11.77698423,-0.319606707,-0.455887538,-99.21142759,3.226078799,-3.194029851,-4.166311301,20.18887368,25.54431974,9.351390977,18.77076012,-2.130997054,2.608909605
ADL PARTNER,0,18,D,8,2,2,2,25,21,10,Non,H,52,46 - 55,Non,9,-16.98798423,-0.273606707,-0.818887538,-103.3854276,1.226078799,2.805970149,0.833688699,40.98487368,44.84931974,11.96639098,28.97676012,-2.130997054,2.691909605
ADVINI,0,80,B+,10,8,8,6,51,34,26,Non,H,63,56 - 65,Non,7,-15.33498423,-1.846606707,-1.224887538,-83.46342759,-1.773921201,-3.194029851,-2.166311301,14.29087368,16.80531974,4.626390977,15.59276012,-2.130997054,-0.564090395
AEROPORTS DE PARIS,0,174,D,35,0,0,0,117,45,84,Oui,H,59,56 - 65,Non,27,-5.544984234,-0.895606707,-0.653887538,-65.47942759,-1.773921201,-0.194029851,1.833688699,15.54687368,21.02531974,7.757390977,14.65576012,-0.502997054,16.5419096
AKWEL SA,0,51,D,18,0,0,0,30,18,20,Non,H,41,36 - 45,Non,15,-21.15298423,-1.139606707,-0.483887538,-95.29742759,-0.773921201,2.805970149,1.833688699,32.10987368,37.40331974,18.38539098,27.65076012,3.094002946,6.996909605
ALBIOMA,0,89,A+,47,0,0,0,46,25,26,Oui,H,44,36 - 45,Non,29,-14.89198423,-2.103606707,-1.228887538,-94.33742759,-0.773921201,-3.194029851,-1.166311301,14.12387368,17.74531974,5.553390977,13.87076012,-2.130997054,8.765909605
