nom_entreprise,attaque,Taille.de.la.Composition.du.Groupe,Indic..d.indép..BvD,Nombre.d.actionnaires,Nombre.de.bénéficiaires.effectifs..déf.10..10..,Nombre.de.bénéficiaires.effectifs..déf.10..50..,Nombre.de.bénéficiaires.effectifs..déf.25..25..,Nombre.de.dirigeants,Nombre.de.dirigeants.actuels,Nombre.de.dirigeants.précédents,DM..As.any.category,Dirigeant..Sexe,Dirigeant..Age,Dirigeant..Tranche.d.âge,Dirigeant..Aussi.actionnaire,Dirigeant..Nombre.d.entreprises.dans.lesquelles.une.fonction.est.exercée,diffmoy_Cours...bénéfice.par.action...moyenne,diffmoy_Capitalisation...Capitaux.propres,diffmoy_Capitalisation...Total.du.bilan..Tobin.s.Q,diffmoy_Capitaux.propres.par.action..EUR,diffmoy_Probabilité.de.faillite,diffmoy_Coefficient.d.endettement,diffmoy_Solvabilité,diffmoy_Rend..du.capital.investi,diffmoy_Rend..des.capitaux.propres.nets,diffmoy_ROA.à.partir.du.résultat.av..impôts,diffmoy_ROCE.à.partir.du.revenu.net1,diffmoy_Dépenses.de.R.D...Produit.d.exploitation,diffmoy_Performance
COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN,0,638,A+,81,0,0,0,50,39,22,Non,H,58,56 - 65,Non,286,-17.90998423,-1.455606707,-0.852887538,-49.71742759,-1.773921201,0.805970149,0.833688699,22.25187368,29.25531974,11.44639098,19.38476012,1.253002946,6.885909605
COMPAGNIE LEBON,0,54,D,9,1,1,1,71,57,20,Non,H,53,46 - 55,Non,12,-19.67198423,-2.501606707,-1.079887538,101.9605724,-1.773921201,1.805970149,1.833688699,15.26087368,15.59731974,8.423390977,15.44276012,-2.130997054,17.5609096
COMPAGNIE PLASTIC OMNIUM SE,0,185,D,39,1,1,1,40,27,22,Oui,H,81,> 75,Non,75,-14.23198423,-0.168606707,-0.697887538,-98.97842759,-2.773921201,-3.194029851,-3.166311301,23.43387368,33.01631974,9.653390977,21.51076012,0.356002946,2.176909605
COURTOIS SA,0,13,D,5,4,4,2,14,8,10,Non,F,35,25 - 35,Non,11,-17.96098423,-2.834606707,-1.262887538,136.9275724,-1.773921201,3.805970149,5.833688699,9.532873684,8.520319737,3.733390977,12.28276012,-2.130997054,3.122909605
COVIVIO HOTELS,0,548,B+,16,7,0,1,47,30,20,Non,H,54,46 - 55,Non,7,-17.34898423,-2.304606707,-1.065887538,-81.13142759,-1.773921201,2.805970149,3.833688699,13.93387368,13.46431974,5.935390977,16.31476012,-2.130997054,76.3289096
DASSAULT AVIATION,0,22,D,26,3,3,1,43,29,19,Oui,H,82,> 75,Non,128,-6.116984234,-0.603606707,-0.964887538,293.2255724,-1.773921201,2.805970149,-1.166311301,17.94687368,19.82731974,5.040390977,17.52476012,5.781002946,7.571909605
DASSAULT SYSTEMES,0,167,D,61,3,3,1,66,31,47,Non,H,63,56 - 65,Non,94,13.44501577,1.566393293,1.085112462,-93.79042759,-2.773921201,-2.194029851,-0.166311301,19.81987368,23.14731974,11.24239098,17.20876012,15.55800295,16.9209096
DELTA PLUS GROUP,0,76,D,20,4,4,2,21,15,9,Non,H,37,36 - 45,Non,33,-17.91698423,-1.331606707,-0.566887538,-94.30642759,1.226078799,-0.194029851,-1.166311301,24.45587368,26.62031974,12.85339098,22.19676012,-2.130997054,6.492909605
DEVOTEAM,0,109,A+,56,4,4,0,38,28,15,Non,F,51,46 - 55,Non,7,-9.742984234,-0.018606707,-0.432887538,-91.01242759,3.226078799,-0.194029851,-0.166311301,26.23687368,29.38031974,10.17139098,20.04276012,-2.130997054,2.347909605
DLSI,0,9,B+,7,2,2,2,18,15,8,Non,H,74,66 - 75,Oui,5,-21.88798423,-1.798606707,-1.021887538,-94.65442759,-0.773921201,2.805970149,-1.166311301,33.65087368,31.69731974,12.03839098,27.34676012,-2.130997054,-0.085090395
